config	instance	seed	result	time_s	conflicts	propagations	decisions
binary_fast	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	9	SATISFIABLE	7.9	200009	19707987	370567
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	0	UNSATISFIABLE	201.5	2163712	583812921	2702534
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	1	UNSATISFIABLE	247.1	2298929	633237745	2880726
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	2	UNSATISFIABLE	147.6	2092137	579371218	2630952
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	3	UNSATISFIABLE	155.4	2176593	605620430	2717865
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	4	UNSATISFIABLE	152.8	2158881	594837238	2700654
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	5	UNSATISFIABLE	181.0	2180526	596814627	2744208
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	6	UNSATISFIABLE	126.1	1694198	464558294	2120158
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	7	UNSATISFIABLE	186.3	2602710	724628975	3252195
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	8	UNSATISFIABLE	162.3	2286995	631899434	2858314
binary_fast	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	9	UNSATISFIABLE	190.5	2318846	641510402	2883905
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	0	UNSATISFIABLE	290.4	3413016	1005170255	4275789
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	1	UNSATISFIABLE	309.3	3481425	1032279804	4376125
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	2	UNSATISFIABLE	279.6	3302755	964735524	4151796
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	3	UNSATISFIABLE	274.2	3199575	956399088	4005268
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	4	UNSATISFIABLE	251.3	3085179	905852864	3876628
